,role_or_degree,role_code
1690,sap technology consultant,9110
1691,intern - first choice global initiative,5297
1692,febres scholarship program,3538
1694,test and product engineer,11744
1695,preventive maintenance technician- internship,7461
1697,hr hiring and recruitment officer,4590
1700,hr business partner associate,4529
1701,hr admin,4385
1702,human resource and admin assistant,4876
1703,human resource intern,4894
1705,research consultant,8693
1706,photoshoot head,7336
1707,retail proposition intern,8761
1708,communications committee chairperson,1959
1709,editor in chief,3182
1710,freelance private tutor,3790
1711,secretariat correlate,9167
1713,analyst programmer ,410
1718,hr clerk,4549
1719,hr account officer,4383
1725,jr. programmer,5733
1727,software engineering manager,10440
1729,senior technical consultant,10076
1730,technology consultant,11658
1733,programmer trainee,7875
1734,junior java developer,5825
1735,cadet,1530
1736,alternative associate software engineer,358
1739,email support representative,3225
1747,general accounting associate,3874
1751,encoder,3261
1755,pdc hrss sourcing associate at accenture via infolink,7264
1756,clerical office worker,1779
1757,senior software test engineer,9947
1758,mainframe developer,6215
1762,student camp program intern at fixed access engineering department,10887
1763,recruiting lead - vendor management,8342
1773,data management specialist,2775
1774,creative developer,2352
1776,advertisement operations specialist,333
1777,system developer,11101
1778,management report analyst,6267
1785,"recruiter, global delivery services at cloud sherpas (deployed)",8335
1796,technical engineer,11488
1797,laboratory technician,5948
1799,technical suppport,11632
1800,junior technician,5887
1802,desktop support engineer,2947
1808,process executive,7554
1813,associate support engineer,937
1819,support intern,11061
1822,hr service delivery senior analyst,4737
1823,senior sourcing analyst,9957
1824,customer relations management specialist,2568
1830,head of ecommerce,4181
1831,"head of e-business, digital marketing and communications",4180
1832,"regional marketing manager, wyeth nutrition",8551
1833,marketing director,6497
1834,global marketing advisor,3978
1835,consumer marketing manager,2097
1836,brand manager,1252
1838,account manager,85
1839,roles administration specialist,8827
1840,roles administration analyst,8825
1841,roles administration associate,8826
1842,application security and access review associate,495
1843,user account management associate,12044
1844,senior hr business partner,9534
1845,"hr business partner - corporate functions, qa and supply chain",4519
1846,country human resources manager,2327
1847,human resources division manager,4967
1848,"human resources manager (global nestle acquired, 2012)",4985
1849,human resources manager,4984
1850,"technical stores head - wyeth philippines (pfizer acquired, 2009)",11552
1851,sales and marketing executive,8871
1852,human resources & procurement associate manager,4917
1853,technical sales officer,11524
1854,hire to retire associate,4349
1855,hr specialist ii,4777
1856,timekeeper and personnel administrator,11804
1862,hr services operations lead - contact center,4746
1863,hire to retire supervisor - contact center,4358
1864,1st line operations manager,24
1865,speech and language teacher/special education teacher,10641
1868,assistant brand manager,605
1869,brand executive,1248
1870,brand associate,1245
1872,industrial designer,5121
1873,accounting operations analyst,177
1874,accounting operations associate - general ledger,180
1875,accounting operations associate - bank reconciliation.,179
1876,senior administrative assistant,9231
1877,hr data admin,4561
1879,hr talent acquisition intern,4803
1880,production supervisor,7794
1881,operations start-up management,7052
1884,production associate,7756
1886,category development executive | adult milks,1621
1887,national customer manager | sm supermarket & save more market,6754
1888,corporate management trainee | sales and marketing,2255
1889,interns to leaders program,5389
1890,product development executive,7685
1891,technical management trainee (manufacturing services),11501
1892,research and development specialist,8679
1896,nutrition sales specialist,6848
1897,clinical dietitian,1818
1898,commercial development intern,1934
1899,vice president for training and development ,12123
1900,assistant vice president for training and development,795
1901,project head for revibe: sync to the beat,7938
1902,team leader for events of course appreciation week (caw): horizons,11391
1903,assistant team leader for events of the 12th business management students' convention,752
1904,junior officer for training and development ,5844
1905,class organizer for leap 2020: bms: upcycled fashion,1773
1906,assistant team leader for marketing of sinag: conquer the stage,755
1907,committee coordinator for civics,1944
1908,project head for take a pledge 2021,7939
1909,trainee for civics,11843
1910,business development intern at shopee philippines,1375
1911,business analytics intern,1335
1912,vp - controller - supply chain & procurement,12176
1913,corporate business excellence manager - finance & control,2219
1914,sr project manager - global business excellence - finance & control,10673
1915,corporate controller,2231
1916,financial controller - business planning,3644
1917,market controller,6434
1918,factory controller,3505
1919,head of management accounting,4209
1920,head of finance and control division,4185
1921,financial controller - marketing division,3646
1922,financial controller - culinary business,3645
1923,manager - budgets and costings,6288
1924,management trainee - finance and control,6270
1925,operations analyst/financial analyst,6978
1926,budget analyst/corporate planning analyst,1295
1927,logistics operations manager,6186
1928,centralized/strategic materials management planner,1658
1929,inbound materials management planner,5088
1930,warehouse operations supervisor,12213
1931,warehouse assistant,12208
1932,development engineer,2963
1933,national customer manager,6753
1935,regional sales manager,8562
1936,key account manager,5900
1937,regional field operations executive,8535
1938,area sales manager,565
1939,sales and marketing trainee,8876
1940,legislative staff officer,6116
1941,nqac analyst i,6839
1942,nqac analyst ii,6840
1943,qa analyst ii,8144
1944,microbiology laboratory analyst ii,6661
1945,assistant microbiologist,708
1946,research & development assistant,8666
1947,assistant vice president - growth strategy & insights lead,774
1948,growth strategy partner lead,4102
1949,consumer and menu insights manager,2087
1950,consumer insights assistant manager,2091
1951,food writer/blogger,3739
1952,portfolio development analyst,7409
1953,senior research executive,9882
1954,research executive ii,8697
1955,research executive,8696
1957,research intern,8698
1958,talent and organization development head,11235
1959,learning & training manager,6062
1961,organization design & development head,7131
1962,factory talent and organization development head,3522
1963,hr manager- learning and training,4624
1964,hr executive- recruitment,4580
1965,corporate management trainee- human resources,2257
1966,hr associate- compensation and benefits,4509
1967,hr assistant- compensation and benefits,4493
1968,supply planning executive,11050
1969,head of demand and inventory planning,4174
1970,supply chain planning manager,11031
1972,demand planning assistant manager,2877
1973,demand planning supervisor,2879
1974,supply chain projects specialist,11033
1975,demand supply planner - finished goods,2881
